,county,candidate,votes
634,West,Jade Simmons,1.0
274,West,Howie Hawkins,55.0
155,West,President R19 Boddie Stoneham,0.0
150,West,President R19 Boddie Stoneham,0.0
627,West,Jade Simmons,5.0
644,West,Jade Simmons,5.0
626,West,Jade Simmons,0.0
177,West,Brian Carroll,13.0
181,West,Brian Carroll,3.0
204,West,Brian Carroll,41.0
690,West,Jade Simmons,0.0
187,West,Brian Carroll,13.0
186,West,Brian Carroll,5.0
705,West,Donald J. Trump,33.116
683,West,Jade Simmons,0.0
678,West,Jade Simmons,0.0
232,West,Brian Carroll,85.0
709,West,Donald J. Trump,20.798
229,West,Brian Carroll,8.0
672,West,Jade Simmons,16.0
670,West,Jade Simmons,1.0
714,West,Donald J. Trump,14.589
715,West,Donald J. Trump,39.032
458,West,Dario Hunter,0.0
230,West,Brian Carroll,15.0
221,West,Brian Carroll,7.0
275,West,Howie Hawkins,245.0
144,West,President R19 Boddie Stoneham,0.0
749,West,Donald J. Trump,17.964
106,West,President R19 Boddie Stoneham,0.0
320,West,Howie Hawkins,884.0
584,West,Jo Jorgensen,3.418
99,West,President R19 Boddie Stoneham,1.0
98,West,President R19 Boddie Stoneham,0.0
784,West,Donald J. Trump,11.65
582,West,Jo Jorgensen,782.0
778,West,Donald J. Trump,20.422
581,West,Jo Jorgensen,204.0
331,West,Howie Hawkins,51.0
696,West,Jade Simmons,1.0
338,West,Howie Hawkins,71.0
93,West,President R19 Boddie Stoneham,0.0
344,West,Howie Hawkins,42.0
793,West,Kasey Wells,0.0
89,West,President R19 Boddie Stoneham,0.0
326,West,Howie Hawkins,38.0
318,West,Howie Hawkins,139.0
590,West,Jo Jorgensen,124.0
317,West,Howie Hawkins,67.0
142,West,President R19 Boddie Stoneham,0.0
141,West,President R19 Boddie Stoneham,0.0
621,West,Jade Simmons,1.0
133,West,President R19 Boddie Stoneham,0.0
757,West,Donald J. Trump,19.452
758,West,Donald J. Trump,41.371
760,West,Donald J. Trump,129.034
617,West,Jade Simmons,0.0
282,West,Howie Hawkins,62.0
608,West,Jo Jorgensen,201.0
766,West,Donald J. Trump,7.086
292,West,Howie Hawkins,264.0
602,West,Jo Jorgensen,290.0
771,West,Donald J. Trump,17.022
595,West,Jo Jorgensen,243.0
116,West,President R19 Boddie Stoneham,0.0
309,West,Howie Hawkins,69.0
556,West,Jo Jorgensen,1.458
669,West,Jade Simmons,0.0
