fips,candidate,county,votes
16049,Donald J. Trump,Idaho,7826
16049,Joseph R. Biden,Idaho,1561
16049,Don Blankenship,Idaho,25
16049,Rocky De La Fuente,Idaho,14
16049,Jo Jorgensen,Idaho,118
16049,Brock Pierce,Idaho,35
16049,Kanye West,Idaho,23
16051,Donald J. Trump,Jefferson,12099
16051,Joseph R. Biden,Jefferson,1661
16051,Don Blankenship,Jefferson,50
16051,Rocky De La Fuente,Jefferson,26
16051,Jo Jorgensen,Jefferson,252
16051,Brock Pierce,Jefferson,41
16051,Kanye West,Jefferson,44
16053,Donald J. Trump,Jerome,5734
16053,Joseph R. Biden,Jerome,1893
16053,Don Blankenship,Jerome,17
16053,Rocky De La Fuente,Jerome,10
16053,Jo Jorgensen,Jerome,100
16053,Brock Pierce,Jerome,23
16053,Kanye West,Jerome,35
16055,Donald J. Trump,Kootenai,62837
16055,Joseph R. Biden,Kootenai,24312
16055,Don Blankenship,Kootenai,144
16055,Rocky De La Fuente,Kootenai,117
16055,Jo Jorgensen,Kootenai,1594
16055,Brock Pierce,Kootenai,195
16055,Kanye West,Kootenai,268
16057,Donald J. Trump,Latah,9472
16057,Joseph R. Biden,Latah,10236
16057,Don Blankenship,Latah,38
16057,Rocky De La Fuente,Latah,37
16057,Jo Jorgensen,Latah,608
16057,Brock Pierce,Latah,54
16057,Kanye West,Latah,125
16059,Donald J. Trump,Lemhi,3592
16059,Joseph R. Biden,Lemhi,1032
16059,Don Blankenship,Lemhi,7
16059,Rocky De La Fuente,Lemhi,8
16059,Jo Jorgensen,Lemhi,78
16059,Brock Pierce,Lemhi,11
16059,Kanye West,Lemhi,10
16061,Donald J. Trump,Lewis,1489
16061,Joseph R. Biden,Lewis,349
16061,Don Blankenship,Lewis,7
16061,Rocky De La Fuente,Lewis,2
16061,Jo Jorgensen,Lewis,16
16061,Brock Pierce,Lewis,4
16061,Kanye West,Lewis,3
16063,Donald J. Trump,Lincoln,1469
16063,Joseph R. Biden,Lincoln,414
16063,Don Blankenship,Lincoln,6
16063,Rocky De La Fuente,Lincoln,4
16063,Jo Jorgensen,Lincoln,21
16063,Brock Pierce,Lincoln,12
16063,Kanye West,Lincoln,14
16065,Donald J. Trump,Madison,13559
16065,Joseph R. Biden,Madison,2666
16065,Don Blankenship,Madison,65
16065,Rocky De La Fuente,Madison,39
16065,Jo Jorgensen,Madison,644
16065,Brock Pierce,Madison,64
16065,Kanye West,Madison,75
16067,Donald J. Trump,Minidoka,6265
16067,Joseph R. Biden,Minidoka,1550
16067,Don Blankenship,Minidoka,11
16067,Rocky De La Fuente,Minidoka,18
16067,Jo Jorgensen,Minidoka,87
16067,Brock Pierce,Minidoka,19
16067,Kanye West,Minidoka,43
16069,Donald J. Trump,Nez Perce,13738
16069,Joseph R. Biden,Nez Perce,6686
16069,Don Blankenship,Nez Perce,39
16069,Rocky De La Fuente,Nez Perce,36
16069,Jo Jorgensen,Nez Perce,296
16069,Brock Pierce,Nez Perce,67
16069,Kanye West,Nez Perce,105
16071,Donald J. Trump,Oneida,2148
16071,Joseph R. Biden,Oneida,249
16071,Don Blankenship,Oneida,9
16071,Rocky De La Fuente,Oneida,2
16071,Jo Jorgensen,Oneida,27
16071,Brock Pierce,Oneida,6
16071,Kanye West,Oneida,10
16073,Donald J. Trump,Owyhee,3819
16073,Joseph R. Biden,Owyhee,816
16073,Don Blankenship,Owyhee,14
16073,Rocky De La Fuente,Owyhee,9
16073,Jo Jorgensen,Owyhee,57
16073,Brock Pierce,Owyhee,15
16073,Kanye West,Owyhee,12
16075,Donald J. Trump,Payette,8862
16075,Joseph R. Biden,Payette,2161
16075,Don Blankenship,Payette,22
16075,Rocky De La Fuente,Payette,14
16075,Jo Jorgensen,Payette,166
16075,Brock Pierce,Payette,35
16075,Kanye West,Payette,33
16077,Donald J. Trump,Power,2116
16077,Joseph R. Biden,Power,865
16077,Don Blankenship,Power,13
16077,Rocky De La Fuente,Power,10
16077,Jo Jorgensen,Power,41
16077,Brock Pierce,Power,15
16077,Kanye West,Power,14
16079,Donald J. Trump,Shoshone,4216
16079,Joseph R. Biden,Shoshone,1693
16079,Don Blankenship,Shoshone,14
16079,Rocky De La Fuente,Shoshone,10
16079,Jo Jorgensen,Shoshone,71
16079,Brock Pierce,Shoshone,22
16079,Kanye West,Shoshone,23
16081,Donald J. Trump,Teton,2858
16081,Joseph R. Biden,Teton,3318
16081,Don Blankenship,Teton,1
16081,Rocky De La Fuente,Teton,5
16081,Jo Jorgensen,Teton,109
16081,Brock Pierce,Teton,17
16081,Kanye West,Teton,39
16083,Donald J. Trump,Twin Falls,25897
16083,Joseph R. Biden,Twin Falls,9391
16083,Don Blankenship,Twin Falls,82
16083,Rocky De La Fuente,Twin Falls,71
16083,Jo Jorgensen,Twin Falls,770
16083,Brock Pierce,Twin Falls,131
16083,Kanye West,Twin Falls,159
16085,Donald J. Trump,Valley,3947
16085,Joseph R. Biden,Valley,2976
16085,Don Blankenship,Valley,7
16085,Rocky De La Fuente,Valley,9
16085,Jo Jorgensen,Valley,73
16085,Brock Pierce,Valley,21
16085,Kanye West,Valley,30
16087,Donald J. Trump,Washington,4154
16087,Joseph R. Biden,Washington,1073
16087,Don Blankenship,Washington,13
16087,Rocky De La Fuente,Washington,6
16087,Jo Jorgensen,Washington,57
16087,Brock Pierce,Washington,25
16087,Kanye West,Washington,16
