county,candidate,votes,fips
Clay,Deborah Rouse,0,18021
Clay,Donald J. Trump,9499,18021
Clay,Howie Hawkins,6,18021
Clay,James L Johnson Jr.,0,18021
Clay,Jo Jorgensen,208,18021
Clay,Joe Schriner,0,18021
Clay,Joseph R. Biden,2552,18021
Clay,Kasey Wells,0,18021
Clay,Mitchell Williams,0,18021
Clay,Randall F,0,18021
Clay,Shawn Howard,0,18021
Clay,Valerie Mccray,0,18021
Clinton,Abram Loeb,0,18023
Clinton,Brian Carroll,2,18023
Clinton,Christopher Stried,0,18023
Clinton,Deborah Rouse,0,18023
Clinton,Donald J. Trump,9334,18023
Clinton,Howie Hawkins,6,18023
Clinton,James L Johnson Jr.,0,18023
Clinton,Jo Jorgensen,246,18023
Clinton,Joe Schriner,0,18023
Clinton,Joseph R. Biden,3361,18023
Clinton,Kasey Wells,0,18023
Clinton,Mitchell Williams,0,18023
Clinton,Randall F,0,18023
Clinton,Shawn Howard,0,18023
Clinton,Valerie Mccray,0,18023
Crawford,Abram Loeb,0,18025
Crawford,Brian Carroll,0,18025
Crawford,Christopher Stried,0,18025
Crawford,Deborah Rouse,0,18025
Crawford,Donald J. Trump,3483,18025
Crawford,Howie Hawkins,0,18025
Crawford,James L Johnson Jr.,0,18025
Crawford,Jo Jorgensen,106,18025
Crawford,Joe Schriner,0,18025
Crawford,Joseph R. Biden,1355,18025
Crawford,Kasey Wells,0,18025
Crawford,Mitchell Williams,0,18025
Crawford,Randall F,0,18025
Crawford,Shawn Howard,0,18025
Crawford,Valerie Mccray,0,18025
Daviess,Abram Loeb,0,18027
Daviess,Brian Carroll,2,18027
Daviess,Christopher Stried,0,18027
Daviess,Deborah Rouse,0,18027
Daviess,Donald J. Trump,9576,18027
Daviess,Howie Hawkins,3,18027
Daviess,James L Johnson Jr.,0,18027
Daviess,Jo Jorgensen,204,18027
Daviess,Joe Schriner,0,18027
Daviess,Joseph R. Biden,2169,18027
Daviess,Kasey Wells,0,18027
Daviess,Mitchell Williams,0,18027
Daviess,Randall F,0,18027
Daviess,Shawn Howard,0,18027
Daviess,Valerie Mccray,0,18027
Dearborn,Abram Loeb,0,18029
Dearborn,Brian Carroll,9,18029
Dearborn,Christopher Stried,0,18029
Dearborn,Deborah Rouse,0,18029
Dearborn,Donald J. Trump,19528,18029
Dearborn,Howie Hawkins,12,18029
Dearborn,James L Johnson Jr.,0,18029
Dearborn,Jo Jorgensen,387,18029
Dearborn,Joe Schriner,0,18029
Dearborn,Joseph R. Biden,5446,18029
Dearborn,Kasey Wells,0,18029
Dearborn,Mitchell Williams,0,18029
Dearborn,Randall F,0,18029
Dearborn,Shawn Howard,1,18029
Dearborn,Valerie Mccray,0,18029
Decatur,Abram Loeb,0,18031
Decatur,Brian Carroll,0,18031
Decatur,Christopher Stried,0,18031
Decatur,Deborah Rouse,0,18031
Decatur,Donald J. Trump,9575,18031
Decatur,Howie Hawkins,0,18031
Decatur,James L Johnson Jr.,0,18031
Decatur,Jo Jorgensen,273,18031
Decatur,Joe Schriner,0,18031
Decatur,Joseph R. Biden,2439,18031
Decatur,Kasey Wells,0,18031
Decatur,Mitchell Williams,0,18031
Decatur,Randall F,0,18031
Decatur,Shawn Howard,0,18031
Decatur,Valerie Mccray,0,18031
Dekalb,Abram Loeb,0,18033
Dekalb,Brian Carroll,0,18033
Dekalb,Christopher Stried,0,18033
Dekalb,Deborah Rouse,0,18033
Dekalb,Donald J. Trump,14237,18033
Dekalb,Howie Hawkins,0,18033
Dekalb,James L Johnson Jr.,0,18033
Dekalb,Jo Jorgensen,425,18033
Dekalb,Joe Schriner,0,18033
Dekalb,Joseph R. Biden,4966,18033
Dekalb,Kasey Wells,0,18033
Dekalb,Mitchell Williams,0,18033
Dekalb,Randall F,0,18033
Dekalb,Shawn Howard,0,18033
Dekalb,Valerie Mccray,0,18033
Delaware,Abram Loeb,0,18035
Delaware,Brian Carroll,0,18035
Delaware,Christopher Stried,0,18035
Delaware,Deborah Rouse,0,18035
Delaware,Donald J. Trump,26827,18035
Delaware,Howie Hawkins,0,18035
Delaware,James L Johnson Jr.,0,18035
Delaware,Jo Jorgensen,890,18035
Delaware,Joe Schriner,0,18035
Delaware,Joseph R. Biden,20474,18035
Delaware,Kasey Wells,0,18035
Delaware,Mitchell Williams,0,18035
Delaware,Randall F,0,18035
Delaware,Shawn Howard,0,18035
Delaware,Valerie Mccray,0,18035
Dubois,Abram Loeb,0,18037
Dubois,Brian Carroll,13,18037
Dubois,Christopher Stried,0,18037
Dubois,Deborah Rouse,0,18037
Dubois,Donald J. Trump,15033,18037
Dubois,Howie Hawkins,0,18037
Dubois,James L Johnson Jr.,0,18037
Dubois,Jo Jorgensen,432,18037
Dubois,Joe Schriner,0,18037
Dubois,Joseph R. Biden,6292,18037
Dubois,Kasey Wells,0,18037
Dubois,Mitchell Williams,0,18037
Dubois,Randall F,0,18037
Dubois,Shawn Howard,0,18037
Dubois,Valerie Mccray,0,18037
Elkhart,Abram Loeb,0,18039
Elkhart,Brian Carroll,26,18039
Elkhart,Christopher Stried,0,18039
Elkhart,Deborah Rouse,0,18039
Elkhart,Donald J. Trump,46972,18039
Elkhart,Howie Hawkins,37,18039
Elkhart,James L Johnson Jr.,0,18039
Elkhart,Jo Jorgensen,1241,18039
Elkhart,Joe Schriner,1,18039
Elkhart,Joseph R. Biden,26108,18039
Elkhart,Kasey Wells,0,18039
Elkhart,Mitchell Williams,0,18039
Elkhart,Randall F,0,18039
Elkhart,Shawn Howard,2,18039
Elkhart,Valerie Mccray,0,18039
Fayette,Abram Loeb,0,18041
Fayette,Brian Carroll,0,18041
Fayette,Christopher Stried,0,18041
Fayette,Deborah Rouse,0,18041
