fips,county,candidate,votes
38075,Renville,Donald J. Trump,1065
38075,Renville,Joseph R. Biden,220
38075,Renville,Jo Jorgensen,32
38075,Renville,Write-in,2
38077,Richland,Donald J. Trump,5072
38077,Richland,Joseph R. Biden,2510
38077,Richland,Jo Jorgensen,191
38077,Richland,Write-in,39
38079,Rolette,Donald J. Trump,1257
38079,Rolette,Joseph R. Biden,2482
38079,Rolette,Jo Jorgensen,60
38079,Rolette,Write-in,5
38081,Sargent,Donald J. Trump,1266
38081,Sargent,Joseph R. Biden,738
38081,Sargent,Jo Jorgensen,62
38081,Sargent,Write-in,4
38083,Sheridan,Donald J. Trump,688
38083,Sheridan,Joseph R. Biden,104
38083,Sheridan,Jo Jorgensen,16
38083,Sheridan,Write-in,4
38085,Sioux,Donald J. Trump,258
38085,Sioux,Joseph R. Biden,804
38085,Sioux,Jo Jorgensen,76
38085,Sioux,Write-in,48
38087,Slope,Donald J. Trump,380
38087,Slope,Joseph R. Biden,44
38087,Slope,Jo Jorgensen,2
38087,Slope,Write-in,1
38089,Stark,Donald J. Trump,12110
38089,Stark,Joseph R. Biden,2499
38089,Stark,Jo Jorgensen,396
38089,Stark,Write-in,45
38091,Steele,Donald J. Trump,652
38091,Steele,Joseph R. Biden,392
38091,Steele,Jo Jorgensen,38
38091,Steele,Write-in,6
38093,Stutsman,Donald J. Trump,6994
38093,Stutsman,Joseph R. Biden,2676
38093,Stutsman,Jo Jorgensen,249
38093,Stutsman,Write-in,40
38095,Towner,Donald J. Trump,830
38095,Towner,Joseph R. Biden,317
38095,Towner,Jo Jorgensen,25
38095,Towner,Write-in,2
38097,Traill,Donald J. Trump,2522
38097,Traill,Joseph R. Biden,1493
38097,Traill,Jo Jorgensen,110
38097,Traill,Write-in,11
38099,Walsh,Donald J. Trump,3324
38099,Walsh,Joseph R. Biden,1333
38099,Walsh,Jo Jorgensen,95
38099,Walsh,Write-in,31
38101,Ward,Donald J. Trump,19974
38101,Ward,Joseph R. Biden,7293
38101,Ward,Jo Jorgensen,845
38101,Ward,Write-in,134
38103,Wells,Donald J. Trump,1893
38103,Wells,Joseph R. Biden,442
38103,Wells,Jo Jorgensen,32
38103,Wells,Write-in,7
38105,Williams,Donald J. Trump,11739
38105,Williams,Joseph R. Biden,2169
38105,Williams,Jo Jorgensen,362
38105,Williams,Write-in,64
