fips,county,candidate,votes
30091,Sheridan,Jo Jorgensen,53
30091,Sheridan,Donald J. Trump,1403
30093,Silver Bow,Joseph R. Biden,10392
30093,Silver Bow,Jo Jorgensen,521
30093,Silver Bow,Donald J. Trump,7745
30095,Stillwater,Joseph R. Biden,1156
30095,Stillwater,Jo Jorgensen,106
30095,Stillwater,Donald J. Trump,4462
30097,Sweet Grass,Joseph R. Biden,549
30097,Sweet Grass,Jo Jorgensen,57
30097,Sweet Grass,Donald J. Trump,1840
30099,Teton,Joseph R. Biden,1007
30099,Teton,Jo Jorgensen,64
30099,Teton,Donald J. Trump,2608
30101,Toole,Joseph R. Biden,467
30101,Toole,Jo Jorgensen,56
30101,Toole,Donald J. Trump,1596
30103,Treasure,Joseph R. Biden,78
30103,Treasure,Jo Jorgensen,9
30103,Treasure,Donald J. Trump,373
30105,Valley,Joseph R. Biden,1030
30105,Valley,Jo Jorgensen,96
30105,Valley,Donald J. Trump,3135
30107,Wheatland,Joseph R. Biden,225
30107,Wheatland,Jo Jorgensen,20
30107,Wheatland,Donald J. Trump,823
30109,Wibaux,Joseph R. Biden,77
30109,Wibaux,Jo Jorgensen,5
30109,Wibaux,Donald J. Trump,516
30111,Yellowstone,Joseph R. Biden,30679
30111,Yellowstone,Jo Jorgensen,2370
30111,Yellowstone,Donald J. Trump,50772
