fips,county,candidate,votes
31075,Grant,Joseph R. Biden,20
31075,Grant,Jo Jorgensen,7
31075,Grant,Write-in,0
31077,Greeley,Donald J. Trump,1016
31077,Greeley,Joseph R. Biden,229
31077,Greeley,Jo Jorgensen,13
31077,Greeley,Write-in,1
31079,Hall,Donald J. Trump,16189
31079,Hall,Joseph R. Biden,7681
31079,Hall,Jo Jorgensen,504
31079,Hall,Write-in,76
31081,Hamilton,Donald J. Trump,4309
31081,Hamilton,Joseph R. Biden,1118
31081,Hamilton,Jo Jorgensen,106
31081,Hamilton,Write-in,33
31083,Harlan,Donald J. Trump,1615
31083,Harlan,Joseph R. Biden,282
31083,Harlan,Jo Jorgensen,31
31083,Harlan,Write-in,6
31085,Hayes,Donald J. Trump,494
31085,Hayes,Joseph R. Biden,34
31085,Hayes,Jo Jorgensen,6
31085,Hayes,Write-in,6
31087,Hitchcock,Donald J. Trump,1264
31087,Hitchcock,Joseph R. Biden,175
31087,Hitchcock,Jo Jorgensen,30
31087,Hitchcock,Write-in,1
31089,Holt,Donald J. Trump,4769
31089,Holt,Joseph R. Biden,686
31089,Holt,Jo Jorgensen,82
31089,Holt,Write-in,13
31091,Hooker,Donald J. Trump,376
31091,Hooker,Joseph R. Biden,59
31091,Hooker,Jo Jorgensen,7
31091,Hooker,Write-in,0
31093,Howard,Donald J. Trump,2786
31093,Howard,Joseph R. Biden,648
31093,Howard,Jo Jorgensen,67
31093,Howard,Write-in,10
31095,Jefferson,Donald J. Trump,2616
31095,Jefferson,Joseph R. Biden,1016
31095,Jefferson,Jo Jorgensen,84
31095,Jefferson,Write-in,14
31097,Johnson,Donald J. Trump,1518
31097,Johnson,Joseph R. Biden,647
31097,Johnson,Jo Jorgensen,64
31097,Johnson,Write-in,4
31099,Kearney,Donald J. Trump,2822
31099,Kearney,Joseph R. Biden,701
31099,Kearney,Jo Jorgensen,81
31099,Kearney,Write-in,13
31101,Keith,Donald J. Trump,3544
31101,Keith,Joseph R. Biden,763
31101,Keith,Jo Jorgensen,57
31101,Keith,Write-in,5
31103,Keya Paha,Donald J. Trump,476
31103,Keya Paha,Joseph R. Biden,49
31103,Keya Paha,Jo Jorgensen,4
31103,Keya Paha,Write-in,1
31105,Kimball,Donald J. Trump,1563
31105,Kimball,Joseph R. Biden,268
31105,Kimball,Jo Jorgensen,43
31105,Kimball,Write-in,3
31107,Knox,Donald J. Trump,3721
31107,Knox,Joseph R. Biden,905
31107,Knox,Jo Jorgensen,71
31107,Knox,Write-in,11
31109,Lancaster,Donald J. Trump,70092
31109,Lancaster,Joseph R. Biden,82293
31109,Lancaster,Jo Jorgensen,3706
31109,Lancaster,Write-in,1124
31111,Lincoln,Donald J. Trump,13071
31111,Lincoln,Joseph R. Biden,3692
31111,Lincoln,Jo Jorgensen,344
31111,Lincoln,Write-in,56
31113,Logan,Donald J. Trump,407
31113,Logan,Joseph R. Biden,38
31113,Logan,Jo Jorgensen,5
31113,Logan,Write-in,0
31115,Loup,Donald J. Trump,370
31115,Loup,Joseph R. Biden,75
31115,Loup,Jo Jorgensen,9
31115,Loup,Write-in,0
31119,Madison,Donald J. Trump,11940
31119,Madison,Joseph R. Biden,3478
31119,Madison,Jo Jorgensen,347
31119,Madison,Write-in,54
31117,McPherson,Donald J. Trump,275
31117,McPherson,Joseph R. Biden,17
31117,McPherson,Jo Jorgensen,10
31117,McPherson,Write-in,0
31121,Merrick,Donald J. Trump,3419
31121,Merrick,Joseph R. Biden,743
31121,Merrick,Jo Jorgensen,95
31121,Merrick,Write-in,25
31123,Morrill,Donald J. Trump,2113
31123,Morrill,Joseph R. Biden,386
31123,Morrill,Jo Jorgensen,58
31123,Morrill,Write-in,1
31125,Nance,Donald J. Trump,1437
31125,Nance,Joseph R. Biden,359
31125,Nance,Jo Jorgensen,32
31125,Nance,Write-in,4
31127,Nemaha,Donald J. Trump,2428
31127,Nemaha,Joseph R. Biden,921
31127,Nemaha,Jo Jorgensen,74
31127,Nemaha,Write-in,9
31129,Nuckolls,Donald J. Trump,1857
31129,Nuckolls,Joseph R. Biden,409
31129,Nuckolls,Jo Jorgensen,37
31129,Nuckolls,Write-in,2
31131,Otoe,Donald J. Trump,5649
31131,Otoe,Joseph R. Biden,2490
31131,Otoe,Jo Jorgensen,176
31131,Otoe,Write-in,40
31133,Pawnee,Donald J. Trump,1071
31133,Pawnee,Joseph R. Biden,322
31133,Pawnee,Jo Jorgensen,36
31133,Pawnee,Write-in,0
31135,Perkins,Donald J. Trump,1321
31135,Perkins,Joseph R. Biden,199
31135,Perkins,Jo Jorgensen,24
31135,Perkins,Write-in,1
31137,Phelps,Donald J. Trump,4157
31137,Phelps,Joseph R. Biden,752
31137,Phelps,Jo Jorgensen,100
31137,Phelps,Write-in,12
31139,Pierce,Donald J. Trump,3462
31139,Pierce,Joseph R. Biden,480
31139,Pierce,Jo Jorgensen,64
31139,Pierce,Write-in,6
31141,Platte,Donald J. Trump,12186
31141,Platte,Joseph R. Biden,3260
31141,Platte,Jo Jorgensen,227
31141,Platte,Write-in,48
31143,Polk,Donald J. Trump,2291
31143,Polk,Joseph R. Biden,530
31143,Polk,Jo Jorgensen,58
31143,Polk,Write-in,8
31145,Red Willow,Donald J. Trump,4525
31145,Red Willow,Joseph R. Biden,811
31145,Red Willow,Jo Jorgensen,116
31145,Red Willow,Write-in,18
31147,Richardson,Donald J. Trump,3073
31147,Richardson,Joseph R. Biden,996
31147,Richardson,Jo Jorgensen,57
31147,Richardson,Write-in,8
31149,Rock,Donald J. Trump,744
31149,Rock,Joseph R. Biden,84
31149,Rock,Jo Jorgensen,13
31149,Rock,Write-in,1
31151,Saline,Donald J. Trump,3631
31151,Saline,Joseph R. Biden,1986
31151,Saline,Jo Jorgensen,153
31151,Saline,Write-in,10
31153,Sarpy,Donald J. Trump,51979
31153,Sarpy,Joseph R. Biden,41206
31153,Sarpy,Jo Jorgensen,2488
31153,Sarpy,Write-in,520
31155,Saunders,Donald J. Trump,9108
31155,Saunders,Joseph R. Biden,3331
31155,Saunders,Jo Jorgensen,296
31155,Saunders,Write-in,51
31157,Scotts Bluff,Donald J. Trump,10952
31157,Scotts Bluff,Joseph R. Biden,4196
31157,Scotts Bluff,Jo Jorgensen,321
31157,Scotts Bluff,Write-in,55
31159,Seward,Donald J. Trump,6490
31159,Seward,Joseph R. Biden,2438
31159,Seward,Jo Jorgensen,214
31159,Seward,Write-in,57
31161,Sheridan,Donald J. Trump,2292
31161,Sheridan,Joseph R. Biden,340
31161,Sheridan,Jo Jorgensen,40
31161,Sheridan,Write-in,12
31163,Sherman,Donald J. Trump,1322
31163,Sherman,Joseph R. Biden,343
31163,Sherman,Jo Jorgensen,33
31163,Sherman,Write-in,2
31165,Sioux,Donald J. Trump,642
