town,candidate,votes
NEW SHOREHAM,Joseph R. Biden,748
NEW SHOREHAM,Donald J. Trump,195
NEW SHOREHAM,Jo Jorgensen,4
NEW SHOREHAM,Write-in,7
NEW SHOREHAM,Rocky De La Fuente,1
NEW SHOREHAM,Brian Carroll,0
NEW SHOREHAM,Gloria La Riva,0
NEWPORT,Joseph R. Biden,7866
NEWPORT,Donald J. Trump,2662
NEWPORT,Jo Jorgensen,85
NEWPORT,Write-in,61
NEWPORT,Brian Carroll,12
NEWPORT,Rocky De La Fuente,16
NEWPORT,Gloria La Riva,10
NORTH KINGSTOWN,Joseph R. Biden,10534
NORTH KINGSTOWN,Donald J. Trump,6633
NORTH KINGSTOWN,Jo Jorgensen,203
NORTH KINGSTOWN,Write-in,124
NORTH KINGSTOWN,Brian Carroll,33
NORTH KINGSTOWN,Rocky De La Fuente,35
NORTH KINGSTOWN,Gloria La Riva,15
NORTH PROVIDENCE,Joseph R. Biden,9438
NORTH PROVIDENCE,Donald J. Trump,7129
NORTH PROVIDENCE,Jo Jorgensen,145
NORTH PROVIDENCE,Write-in,66
NORTH PROVIDENCE,Brian Carroll,23
NORTH PROVIDENCE,Rocky De La Fuente,19
NORTH PROVIDENCE,Gloria La Riva,31
NORTH SMITHFIELD,Joseph R. Biden,3507
NORTH SMITHFIELD,Donald J. Trump,3550
NORTH SMITHFIELD,Jo Jorgensen,85
NORTH SMITHFIELD,Write-in,34
NORTH SMITHFIELD,Rocky De La Fuente,10
NORTH SMITHFIELD,Gloria La Riva,9
NORTH SMITHFIELD,Brian Carroll,11
PAWTUCKET,Joseph R. Biden,18053
PAWTUCKET,Donald J. Trump,7257
PAWTUCKET,Jo Jorgensen,188
PAWTUCKET,Write-in,121
PAWTUCKET,Brian Carroll,49
PAWTUCKET,Rocky De La Fuente,52
PAWTUCKET,Gloria La Riva,68
PORTSMOUTH,Joseph R. Biden,6649
PORTSMOUTH,Donald J. Trump,3995
PORTSMOUTH,Jo Jorgensen,148
PORTSMOUTH,Write-in,73
PORTSMOUTH,Brian Carroll,15
PORTSMOUTH,Rocky De La Fuente,24
PORTSMOUTH,Gloria La Riva,13
PROVIDENCE,Joseph R. Biden,45941
PROVIDENCE,Donald J. Trump,10186
PROVIDENCE,Jo Jorgensen,346
PROVIDENCE,Write-in,314
PROVIDENCE,Rocky De La Fuente,89
PROVIDENCE,Brian Carroll,111
PROVIDENCE,Gloria La Riva,180
RICHMOND,Joseph R. Biden,2346
RICHMOND,Donald J. Trump,2343
RICHMOND,Jo Jorgensen,66
RICHMOND,Write-in,21
RICHMOND,Brian Carroll,9
RICHMOND,Rocky De La Fuente,14
RICHMOND,Gloria La Riva,9
SCITUATE,Donald J. Trump,3806
SCITUATE,Joseph R. Biden,2735
SCITUATE,Jo Jorgensen,69
SCITUATE,Write-in,38
SCITUATE,Brian Carroll,12
SCITUATE,Rocky De La Fuente,15
SCITUATE,Gloria La Riva,8
SMITHFIELD,Joseph R. Biden,5566
SMITHFIELD,Donald J. Trump,5744
SMITHFIELD,Jo Jorgensen,118
SMITHFIELD,Write-in,56
SMITHFIELD,Rocky De La Fuente,20
SMITHFIELD,Brian Carroll,11
SMITHFIELD,Gloria La Riva,13
SOUTH KINGSTOWN,Joseph R. Biden,11254
SOUTH KINGSTOWN,Donald J. Trump,5003
SOUTH KINGSTOWN,Jo Jorgensen,212
SOUTH KINGSTOWN,Write-in,121
SOUTH KINGSTOWN,Rocky De La Fuente,38
SOUTH KINGSTOWN,Brian Carroll,30
SOUTH KINGSTOWN,Gloria La Riva,30
TIVERTON,Joseph R. Biden,5123
TIVERTON,Donald J. Trump,4017
TIVERTON,Jo Jorgensen,84
TIVERTON,Write-in,32
TIVERTON,Brian Carroll,9
TIVERTON,Rocky De La Fuente,17
TIVERTON,Gloria La Riva,10
WARREN,Joseph R. Biden,3524
WARREN,Donald J. Trump,2261
WARREN,Jo Jorgensen,74
WARREN,Write-in,38
WARREN,Rocky De La Fuente,11
WARREN,Brian Carroll,11
WARREN,Gloria La Riva,7
WARWICK,Joseph R. Biden,25845
WARWICK,Donald J. Trump,19578
WARWICK,Jo Jorgensen,545
WARWICK,Write-in,271
WARWICK,Brian Carroll,68
WARWICK,Rocky De La Fuente,81
WARWICK,Gloria La Riva,53
WEST GREENWICH,Donald J. Trump,2242
WEST GREENWICH,Joseph R. Biden,1693
WEST GREENWICH,Jo Jorgensen,41
WEST GREENWICH,Write-in,13
WEST GREENWICH,Brian Carroll,3
WEST GREENWICH,Rocky De La Fuente,6
WEST GREENWICH,Gloria La Riva,2
WEST WARWICK,Joseph R. Biden,7234
WEST WARWICK,Donald J. Trump,6493
WEST WARWICK,Jo Jorgensen,143
WEST WARWICK,Write-in,73
WEST WARWICK,Rocky De La Fuente,28
WEST WARWICK,Brian Carroll,15
WEST WARWICK,Gloria La Riva,15
WESTERLY,Joseph R. Biden,7153
WESTERLY,Donald J. Trump,5463
WESTERLY,Jo Jorgensen,127
WESTERLY,Write-in,64
WESTERLY,Brian Carroll,16
WESTERLY,Rocky De La Fuente,18
WESTERLY,Gloria La Riva,13
WOONSOCKET,Joseph R. Biden,7289
WOONSOCKET,Donald J. Trump,6265
WOONSOCKET,Jo Jorgensen,154
WOONSOCKET,Write-in,47
WOONSOCKET,Brian Carroll,22
WOONSOCKET,Rocky De La Fuente,28
WOONSOCKET,Gloria La Riva,33
