fips,candidate,county,votes
17131,Brian Carroll,Mercer,5
17131,Gloria La Riva,Mercer,8
17117,BARBARA,Macoupin,0
17117,MARK,Macoupin,0
17111,Gloria La Riva,McHenry,205
17117,KASEY,Macoupin,0
17117,Donald J. Trump,Macoupin,16153
17117,Gloria La Riva,Macoupin,20
17117,Joseph R. Biden,Macoupin,7365
17117,Jo Jorgensen,Macoupin,350
17113,Brian Carroll,McLean,283
17111,Jo Jorgensen,McHenry,2176
17027,MARK,Clinton,0
17117,JADE,Macoupin,0
17111,Joseph R. Biden,McHenry,78154
17111,Brian Carroll,McHenry,298
17129,Jo Jorgensen,Menard,95
17029,TODD,Coles,0
17029,JADE,Coles,0
17029,KASEY,Coles,0
17029,MARK,Coles,0
17029,Howie Hawkins,Coles,132
17029,DEBORAH,Coles,0
17029,BARBARA,Coles,0
17029,Donald J. Trump,Coles,14037
17029,Gloria La Riva,Coles,29
17029,Joseph R. Biden,Coles,8067
17121,TODD,Marion,0
17121,Shawn,Marion,0
17121,Howie Hawkins,Marion,74
17121,DEBORAH,Marion,0
17121,JADE,Marion,0
17203,President R19 Boddie Stoneham,Marshall,0
17203,DEBORAH,Marshall,0
17113,Howie Hawkins,McLean,502
17203,JADE,Marshall,0
17113,Gloria La Riva,McLean,156
17113,Joseph R. Biden,McLean,43933
17113,Donald J. Trump,McLean,40502
17113,KATHRYN,McLean,0
17113,KATHERINE,McLean,0
17113,MARK,McLean,0
17113,KASEY,McLean,2
17121,MARK,Marion,0
17113,JADE,McLean,0
17113,BARBARA,McLean,0
17203,CHRIS,Marshall,0
17203,Shawn,Marshall,0
17203,TODD,Marshall,0
17029,Shawn,Coles,0
17203,BARBARA,Marshall,0
17203,Howie Hawkins,Marshall,27
17113,DEBORAH,McLean,0
17109,TODD,McDonough,0
17121,KASEY,Marion,0
17121,Gloria La Riva,Marion,10
17129,Shawn,Menard,0
17129,TODD,Menard,0
17129,CHRIS,Menard,0
17119,Jo Jorgensen,Madison,2169
17129,Howie Hawkins,Menard,33
17129,JADE,Menard,0
17129,BARBARA,Menard,0
17129,KASEY,Menard,0
17129,MARK,Menard,0
17129,KATHERINE,Menard,0
17129,KATHRYN,Menard,0
17129,Donald J. Trump,Menard,4764
17129,Joseph R. Biden,Menard,2022
17129,Gloria La Riva,Menard,9
17129,Brian Carroll,Menard,5
17129,President R19 Boddie Stoneham,Menard,0
17113,President R19 Boddie Stoneham,McLean,0
17113,Shawn,McLean,0
17113,TODD,McLean,0
17121,Joseph R. Biden,Marion,4524
17203,MARK,Marshall,0
17203,KATHRYN,Marshall,0
17203,KATHERINE,Marshall,0
17027,Brian Carroll,Clinton,23
17027,Jo Jorgensen,Clinton,258
17203,KASEY,Marshall,0
17121,Donald J. Trump,Marion,12678
17203,Donald J. Trump,Marshall,4197
17203,Gloria La Riva,Marshall,5
17203,Joseph R. Biden,Marshall,2005
17203,Jo Jorgensen,Marshall,94
17203,Brian Carroll,Marshall,6
17113,CHRIS,McLean,0
17121,Brian Carroll,Marion,9
17121,Jo Jorgensen,Marion,163
17113,ANDY,McLean,0
17109,Howie Hawkins,McDonough,54
17117,Brian Carroll,Macoupin,24
17109,BARBARA,McDonough,0
17105,Donald J. Trump,Livingston,12208
17105,Gloria La Riva,Livingston,12
17105,Joseph R. Biden,Livingston,4615
17105,Brian Carroll,Livingston,22
17115,Jo Jorgensen,Macon,597
17133,Jo Jorgensen,Monroe,309
17109,Brian Carroll,McDonough,19
17133,Brian Carroll,Monroe,28
17109,Joseph R. Biden,McDonough,4992
17133,Gloria La Riva,Monroe,17
17133,Joseph R. Biden,Monroe,6569
17133,Donald J. Trump,Monroe,14142
17133,MARK,Monroe,0
17133,Howie Hawkins,Monroe,83
17105,KASEY,Livingston,0
17133,BARBARA,Monroe,0
17133,TODD,Monroe,0
17133,Howie Hawkins,Monroe,0
17025,Shawn,Clay,0
17025,TODD,Clay,0
17025,JADE,Clay,0
17025,KASEY,Clay,0
17025,MARK,Clay,0
17025,Donald J. Trump,Clay,5629
17025,Howie Hawkins,Clay,26
17025,DEBORAH,Clay,0
17025,BARBARA,Clay,0
17025,Gloria La Riva,Clay,4
17025,Joseph R. Biden,Clay,1129
17109,Donald J. Trump,McDonough,7027
17133,CHRIS,Monroe,0
17109,Gloria La Riva,McDonough,20
17109,Jo Jorgensen,McDonough,173
17105,MARK,Livingston,0
17135,JADE,Montgomery,0
17135,KASEY,Montgomery,0
17135,MARK,Montgomery,0
17135,Gloria La Riva,Montgomery,7
17135,Donald J. Trump,Montgomery,9544
17135,Joseph R. Biden,Montgomery,3905
17135,Brian Carroll,Montgomery,14
17135,Jo Jorgensen,Montgomery,204
17103,Brian Carroll,Lee,22
17103,Jo Jorgensen,Lee,229
17103,Joseph R. Biden,Lee,6407
17103,Gloria La Riva,Lee,12
17103,Donald J. Trump,Lee,9630
17103,KASEY,Lee,0
17105,JADE,Livingston,0
17103,MARK,Lee,0
17127,Jo Jorgensen,Massac,65
17127,Gloria La Riva,Massac,5
17103,BARBARA,Lee,0
17103,Howie Hawkins,Lee,97
17127,Joseph R. Biden,Massac,1725
17127,KASEY,Massac,0
17103,Shawn,Lee,0
17127,MARK,Massac,0
17103,TODD,Lee,0
17105,TODD,Livingston,0
17105,Shawn,Livingston,0
17105,ANDY,Livingston,0
17105,Howie Hawkins,Livingston,73
17105,BARBARA,Livingston,0
17103,JADE,Lee,0
17109,JADE,McDonough,0
17105,Jo Jorgensen,Livingston,244
17113,Jo Jorgensen,McLean,1624
17107,Shawn,Logan,0
17115,Shawn,Macon,0
17109,KASEY,McDonough,0
17115,TODD,Macon,0
17115,Howie Hawkins,Macon,211
17115,JADE,Macon,1
17131,Shawn,Mercer,0
17115,Brian Carroll,Macon,84
17131,TODD,Mercer,0
17125,BARBARA,Mason,0
17125,Howie Hawkins,Mason,31
17107,TODD,Logan,0
17125,CHRIS,Mason,0
17125,Shawn,Mason,0
17125,President R19 Boddie Stoneham,Mason,0
17115,BARBARA,Macon,0
17115,MARK,Macon,2
17127,President R19 Boddie Stoneham,Massac,0
17127,Shawn,Massac,0
17127,TODD,Massac,0
17127,Howie Hawkins,Massac,14
17115,Joseph R. Biden,Macon,19847
17115,Gloria La Riva,Macon,59
17115,Donald J. Trump,Macon,28589
17125,TODD,Mason,0
17107,CHRIS,Logan,0
17115,KASEY,Macon,0
17107,BARBARA,Logan,0
17107,KATHRYN,Logan,0
17107,MARK,Logan,0
17107,KASEY,Logan,0
17107,Donald J. Trump,Logan,9136
17127,BARBARA,Massac,0
17025,Brian Carroll,Clay,10
17107,Brian Carroll,Logan,27
17025,Jo Jorgensen,Clay,88
17107,Gloria La Riva,Logan,14
17107,Joseph R. Biden,Logan,3840
17127,DEBORAH,Massac,0
17127,JADE,Massac,0
17107,JADE,Logan,0
17107,Howie Hawkins,Logan,66
17127,Donald J. Trump,Massac,4997
17107,Jo Jorgensen,Logan,211
