fips,county,candidate,votes
28105,Oktibbeha,Donald J. Trump,9004
28107,Panola,Donald J. Trump,8060
28109,Pearl River,Donald J. Trump,19595
28111,Perry,Donald J. Trump,4500
28113,Pike,Donald J. Trump,8479
28115,Pontotoc,Donald J. Trump,11550
28117,Prentiss,Donald J. Trump,8370
28119,Quitman,Donald J. Trump,1026
28121,Rankin,Donald J. Trump,50895
28123,Scott,Donald J. Trump,6285
28125,Sharkey,Donald J. Trump,688
28127,Simpson,Donald J. Trump,7635
28129,Smith,Donald J. Trump,6458
28131,Stone,Donald J. Trump,5964
28133,Sunflower,Donald J. Trump,2799
28135,Tallahatchie,Donald J. Trump,2488
28137,Tate,Donald J. Trump,8707
28139,Tippah,Donald J. Trump,8054
28141,Tishomingo,Donald J. Trump,7933
28143,Tunica,Donald J. Trump,926
28145,Union,Donald J. Trump,10373
28147,Walthall,Donald J. Trump,4220
28149,Warren,Donald J. Trump,10365
28151,Washington,Donald J. Trump,5300
28153,Wayne,Donald J. Trump,6307
28155,Webster,Donald J. Trump,4291
28157,Wilkinson,Donald J. Trump,1324
28159,Winston,Donald J. Trump,5112
28161,Yalobusha,Donald J. Trump,3671
28163,Yazoo,Donald J. Trump,4832
28001,Adams,Don Blankenship,7
28003,Alcorn,Don Blankenship,11
28005,Amite,Don Blankenship,5
28007,Attala,Don Blankenship,15
28009,Benton,Don Blankenship,3
28011,Bolivar,Don Blankenship,7
28013,Calhoun,Don Blankenship,9
28015,Carroll,Don Blankenship,8
28017,Chickasaw,Don Blankenship,11
28019,Choctaw,Don Blankenship,5
28021,Claiborne,Don Blankenship,7
28023,Clarke,Don Blankenship,7
28025,Clay,Don Blankenship,27
28027,Coahoma,Don Blankenship,11
28029,Copiah,Don Blankenship,15
28031,Covington,Don Blankenship,13
28033,DeSoto,Don Blankenship,67
28035,Forrest,Don Blankenship,31
28037,Franklin,Don Blankenship,6
28039,George,Don Blankenship,10
28041,Greene,Don Blankenship,8
28043,Grenada,Don Blankenship,4
28045,Hancock,Don Blankenship,25
28047,Harrison,Don Blankenship,57
28049,Hinds,Don Blankenship,86
28051,Holmes,Don Blankenship,18
28053,Humphreys,Don Blankenship,7
28055,Issaquena,Don Blankenship,5
28057,Itawamba,Don Blankenship,7
28059,Jackson,Don Blankenship,63
28061,Jasper,Don Blankenship,13
28065,Jefferson Davis,Don Blankenship,8
28063,Jefferson,Don Blankenship,6
28067,Jones,Don Blankenship,30
28069,Kemper,Don Blankenship,9
28071,Lafayette,Don Blankenship,16
28073,Lamar,Don Blankenship,21
28075,Lauderdale,Don Blankenship,25
28077,Lawrence,Don Blankenship,11
28079,Leake,Don Blankenship,14
28081,Lee,Don Blankenship,30
28083,Leflore,Don Blankenship,13
28085,Lincoln,Don Blankenship,18
28087,Lowndes,Don Blankenship,20
28089,Madison,Don Blankenship,37
28091,Marion,Don Blankenship,12
28093,Marshall,Don Blankenship,23
28095,Monroe,Don Blankenship,20
28097,Montgomery,Don Blankenship,5
28099,Neshoba,Don Blankenship,15
28101,Newton,Don Blankenship,7
28103,Noxubee,Don Blankenship,10
28105,Oktibbeha,Don Blankenship,17
28107,Panola,Don Blankenship,19
28109,Pearl River,Don Blankenship,18
28111,Perry,Don Blankenship,6
28113,Pike,Don Blankenship,21
28115,Pontotoc,Don Blankenship,16
28117,Prentiss,Don Blankenship,10
28119,Quitman,Don Blankenship,7
28121,Rankin,Don Blankenship,42
28123,Scott,Don Blankenship,6
28125,Sharkey,Don Blankenship,1
28127,Simpson,Don Blankenship,14
28129,Smith,Don Blankenship,9
28131,Stone,Don Blankenship,13
28133,Sunflower,Don Blankenship,13
28135,Tallahatchie,Don Blankenship,11
28137,Tate,Don Blankenship,12
28139,Tippah,Don Blankenship,11
28141,Tishomingo,Don Blankenship,10
28143,Tunica,Don Blankenship,2
28145,Union,Don Blankenship,9
28147,Walthall,Don Blankenship,6
28149,Warren,Don Blankenship,24
28151,Washington,Don Blankenship,12
28153,Wayne,Don Blankenship,14
28155,Webster,Don Blankenship,4
28157,Wilkinson,Don Blankenship,10
28159,Winston,Don Blankenship,2
28161,Yalobusha,Don Blankenship,8
28163,Yazoo,Don Blankenship,14
28001,Adams,Brian Carroll,8
28003,Alcorn,Brian Carroll,7
28005,Amite,Brian Carroll,10
28007,Attala,Brian Carroll,8
28009,Benton,Brian Carroll,6
28011,Bolivar,Brian Carroll,20
28013,Calhoun,Brian Carroll,2
28015,Carroll,Brian Carroll,2
28017,Chickasaw,Brian Carroll,8
28019,Choctaw,Brian Carroll,3
28021,Claiborne,Brian Carroll,10
28023,Clarke,Brian Carroll,5
28025,Clay,Brian Carroll,17
28027,Coahoma,Brian Carroll,14
28029,Copiah,Brian Carroll,15
28031,Covington,Brian Carroll,5
28033,DeSoto,Brian Carroll,80
28035,Forrest,Brian Carroll,33
28037,Franklin,Brian Carroll,6
28039,George,Brian Carroll,6
28041,Greene,Brian Carroll,2
