fips,county,candidate,votes
01073,Jefferson,Jo Jorgensen,3578
01073,Jefferson,Write-in,1739
01075,Lamar,Joseph R. Biden,978
01075,Lamar,Donald J. Trump,6174
01075,Lamar,Jo Jorgensen,33
01075,Lamar,Write-in,8
01077,Lauderdale,Joseph R. Biden,11915
01077,Lauderdale,Donald J. Trump,31721
01077,Lauderdale,Jo Jorgensen,537
01077,Lauderdale,Write-in,166
01079,Lawrence,Joseph R. Biden,3562
01079,Lawrence,Donald J. Trump,12322
01079,Lawrence,Jo Jorgensen,126
01079,Lawrence,Write-in,21
01081,Lee,Joseph R. Biden,27860
01081,Lee,Donald J. Trump,42221
01081,Lee,Jo Jorgensen,1019
01081,Lee,Write-in,349
01083,Limestone,Joseph R. Biden,13672
01083,Limestone,Donald J. Trump,34640
01083,Limestone,Jo Jorgensen,748
01083,Limestone,Write-in,175
01085,Lowndes,Joseph R. Biden,4972
01085,Lowndes,Donald J. Trump,1836
01085,Lowndes,Jo Jorgensen,26
01085,Lowndes,Write-in,1
01087,Macon,Joseph R. Biden,7108
01087,Macon,Donald J. Trump,1541
01087,Macon,Jo Jorgensen,52
01087,Macon,Write-in,22
01089,Madison,Joseph R. Biden,87286
01089,Madison,Donald J. Trump,102780
01089,Madison,Jo Jorgensen,3699
01089,Madison,Write-in,1002
01091,Marengo,Joseph R. Biden,5488
01091,Marengo,Donald J. Trump,5343
01091,Marengo,Jo Jorgensen,59
01091,Marengo,Write-in,10
01093,Marion,Joseph R. Biden,1463
01093,Marion,Donald J. Trump,12205
01093,Marion,Jo Jorgensen,115
01093,Marion,Write-in,24
01095,Marshall,Joseph R. Biden,5943
01095,Marshall,Donald J. Trump,33191
01095,Marshall,Jo Jorgensen,435
01095,Marshall,Write-in,86
01097,Mobile,Joseph R. Biden,79474
01097,Mobile,Donald J. Trump,101243
01097,Mobile,Jo Jorgensen,1938
01097,Mobile,Write-in,509
01099,Monroe,Joseph R. Biden,4455
01099,Monroe,Donald J. Trump,6147
01099,Monroe,Jo Jorgensen,53
01099,Monroe,Write-in,13
01101,Montgomery,Joseph R. Biden,64529
01101,Montgomery,Donald J. Trump,33311
01101,Montgomery,Jo Jorgensen,923
01101,Montgomery,Write-in,376
01103,Morgan,Joseph R. Biden,13234
01103,Morgan,Donald J. Trump,39664
01103,Morgan,Jo Jorgensen,705
01103,Morgan,Write-in,119
01105,Perry,Joseph R. Biden,3860
01105,Perry,Donald J. Trump,1339
01105,Perry,Jo Jorgensen,24
01105,Perry,Write-in,7
01107,Pickens,Joseph R. Biden,4022
01107,Pickens,Donald J. Trump,5594
01107,Pickens,Jo Jorgensen,40
01107,Pickens,Write-in,12
01109,Pike,Joseph R. Biden,5636
01109,Pike,Donald J. Trump,8042
01109,Pike,Jo Jorgensen,134
01109,Pike,Write-in,29
01111,Randolph,Joseph R. Biden,2203
01111,Randolph,Donald J. Trump,8559
01111,Randolph,Jo Jorgensen,61
01111,Randolph,Write-in,14
01113,Russell,Joseph R. Biden,11228
01113,Russell,Donald J. Trump,9864
01113,Russell,Jo Jorgensen,198
01113,Russell,Write-in,39
01117,Shelby,Joseph R. Biden,33268
01117,Shelby,Donald J. Trump,79700
01117,Shelby,Jo Jorgensen,1462
01117,Shelby,Write-in,520
01115,St. Clair,Joseph R. Biden,7744
01115,St. Clair,Donald J. Trump,36166
01115,St. Clair,Jo Jorgensen,446
01115,St. Clair,Write-in,85
01119,Sumter,Joseph R. Biden,4648
01119,Sumter,Donald J. Trump,1598
01119,Sumter,Jo Jorgensen,37
01119,Sumter,Write-in,8
01121,Talladega,Joseph R. Biden,13138
01121,Talladega,Donald J. Trump,22235
01121,Talladega,Jo Jorgensen,247
01121,Talladega,Write-in,43
01123,Tallapoosa,Joseph R. Biden,5859
01123,Tallapoosa,Donald J. Trump,14963
01123,Tallapoosa,Jo Jorgensen,130
01123,Tallapoosa,Write-in,39
01125,Tuscaloosa,Joseph R. Biden,37765
01125,Tuscaloosa,Donald J. Trump,51117
01125,Tuscaloosa,Jo Jorgensen,927
01125,Tuscaloosa,Write-in,363
01127,Walker,Joseph R. Biden,4834
01127,Walker,Donald J. Trump,26002
01127,Walker,Jo Jorgensen,277
01127,Walker,Write-in,57
01129,Washington,Joseph R. Biden,2258
01129,Washington,Donald J. Trump,6564
01129,Washington,Jo Jorgensen,45
01129,Washington,Write-in,9
01131,Wilcox,Joseph R. Biden,4048
01131,Wilcox,Donald J. Trump,1833
01131,Wilcox,Jo Jorgensen,17
01131,Wilcox,Write-in,5
01133,Winston,Joseph R. Biden,974
01133,Winston,Donald J. Trump,10195
01133,Winston,Jo Jorgensen,102
01133,Winston,Write-in,13
