fips,county,candidate,votes
,Cass,Joseph R. Biden,2201
,Cass,Rocky De La Fuente,3
,Cass,Don Blankenship,10
,Cass,Ricki Sue King,1
,Cass,Howie Hawkins,8
,Cass,Jo Jorgensen,61
,Cass,Brock Pierce,1
,Cass,Kanye West,12
,Cass,Write-in,10
,Cass,Undervotes,41
,Cass,Overvotes,23
,Cedar,Donald J. Trump,6161
,Cedar,Joseph R. Biden,4337
,Cedar,Rocky De La Fuente,6
,Cedar,Don Blankenship,14
,Cedar,Ricki Sue King,3
,Cedar,Howie Hawkins,22
,Cedar,Jo Jorgensen,124
,Cedar,Brock Pierce,1
,Cedar,Kanye West,12
,Cedar,Write-in,23
,Cedar,Undervotes,46
,Cedar,Overvotes,13
,Cerro Gordo,Donald J. Trump,12442
,Cerro Gordo,Joseph R. Biden,10941
,Cerro Gordo,Rocky De La Fuente,36
,Cerro Gordo,Don Blankenship,25
,Cerro Gordo,Ricki Sue King,5
,Cerro Gordo,Howie Hawkins,42
,Cerro Gordo,Jo Jorgensen,196
,Cerro Gordo,Brock Pierce,9
,Cerro Gordo,Kanye West,48
,Cerro Gordo,Write-in,57
,Cerro Gordo,Undervotes,72
,Cerro Gordo,Overvotes,54
,Cherokee,Donald J. Trump,4495
,Cherokee,Joseph R. Biden,1936
,Cherokee,Rocky De La Fuente,6
,Cherokee,Don Blankenship,6
,Cherokee,Ricki Sue King,0
,Cherokee,Howie Hawkins,3
,Cherokee,Jo Jorgensen,48
,Cherokee,Brock Pierce,1
,Cherokee,Kanye West,8
,Cherokee,Write-in,15
,Cherokee,Undervotes,17
,Cherokee,Overvotes,7
,Chickasaw,Donald J. Trump,4308
,Chickasaw,Joseph R. Biden,2233
,Chickasaw,Rocky De La Fuente,6
,Chickasaw,Don Blankenship,6
,Chickasaw,Ricki Sue King,4
,Chickasaw,Howie Hawkins,10
,Chickasaw,Jo Jorgensen,47
,Chickasaw,Brock Pierce,1
,Chickasaw,Kanye West,2
,Chickasaw,Write-in,14
,Chickasaw,Undervotes,32
,Chickasaw,Overvotes,13
,Clarke,Donald J. Trump,3144
,Clarke,Joseph R. Biden,1466
,Clarke,Rocky De La Fuente,1
,Clarke,Don Blankenship,3
,Clarke,Ricki Sue King,1
,Clarke,Howie Hawkins,3
,Clarke,Jo Jorgensen,34
,Clarke,Brock Pierce,1
,Clarke,Kanye West,8
,Clarke,Write-in,9
,Clarke,Undervotes,23
,Clarke,Overvotes,5
,Clay,Donald J. Trump,6137
,Clay,Joseph R. Biden,2662
,Clay,Rocky De La Fuente,5
,Clay,Don Blankenship,11
,Clay,Ricki Sue King,2
,Clay,Howie Hawkins,8
,Clay,Jo Jorgensen,101
,Clay,Brock Pierce,3
,Clay,Kanye West,19
,Clay,Write-in,21
,Clay,Undervotes,33
,Clay,Overvotes,11
,Clayton,Donald J. Trump,6106
,Clayton,Joseph R. Biden,3340
,Clayton,Rocky De La Fuente,5
,Clayton,Don Blankenship,10
,Clayton,Ricki Sue King,5
,Clayton,Howie Hawkins,18
,Clayton,Jo Jorgensen,82
,Clayton,Brock Pierce,1
,Clayton,Kanye West,14
,Clayton,Write-in,13
,Clayton,Undervotes,35
,Clayton,Overvotes,9
,Clinton,Donald J. Trump,13361
,Clinton,Joseph R. Biden,10812
,Clinton,Rocky De La Fuente,6
,Clinton,Don Blankenship,36
,Clinton,Ricki Sue King,9
,Clinton,Howie Hawkins,47
,Clinton,Jo Jorgensen,314
,Clinton,Brock Pierce,6
,Clinton,Kanye West,47
,Clinton,Write-in,49
,Clinton,Undervotes,90
,Clinton,Overvotes,34
,Crawford,Donald J. Trump,4854
,Crawford,Joseph R. Biden,2220
,Crawford,Rocky De La Fuente,2
,Crawford,Don Blankenship,6
,Crawford,Ricki Sue King,4
,Crawford,Howie Hawkins,8
,Crawford,Jo Jorgensen,42
,Crawford,Brock Pierce,1
,Crawford,Kanye West,9
,Crawford,Write-in,8
,Crawford,Undervotes,58
,Crawford,Overvotes,12
,Dallas,Donald J. Trump,27987
,Dallas,Joseph R. Biden,26879
,Dallas,Rocky De La Fuente,38
,Dallas,Don Blankenship,27
,Dallas,Ricki Sue King,19
,Dallas,Howie Hawkins,57
,Dallas,Jo Jorgensen,744
,Dallas,Brock Pierce,9
,Dallas,Kanye West,87
,Dallas,Write-in,175
,Dallas,Undervotes,191
,Dallas,Overvotes,55
,Davis,Donald J. Trump,3032
,Davis,Joseph R. Biden,1013
,Davis,Rocky De La Fuente,2
,Davis,Don Blankenship,4
,Davis,Ricki Sue King,4
,Davis,Howie Hawkins,5
,Davis,Jo Jorgensen,30
,Davis,Brock Pierce,1
,Davis,Kanye West,8
,Davis,Write-in,3
,Davis,Undervotes,23
,Davis,Overvotes,8
,Decatur,Donald J. Trump,2615
,Decatur,Joseph R. Biden,1120
,Decatur,Rocky De La Fuente,6
,Decatur,Don Blankenship,3
,Decatur,Ricki Sue King,3
,Decatur,Howie Hawkins,11
,Decatur,Jo Jorgensen,29
,Decatur,Brock Pierce,3
,Decatur,Kanye West,11
,Decatur,Write-in,3
,Decatur,Undervotes,15
,Decatur,Overvotes,8
,Delaware,Donald J. Trump,6666
,Delaware,Joseph R. Biden,3157
,Delaware,Rocky De La Fuente,7
,Delaware,Don Blankenship,17
,Delaware,Ricki Sue King,7
,Delaware,Howie Hawkins,15
,Delaware,Jo Jorgensen,87
,Delaware,Brock Pierce,8
,Delaware,Kanye West,17
,Delaware,Write-in,22
,Delaware,Undervotes,47
,Delaware,Overvotes,18
,Des Moines,Donald J. Trump,10592
,Des Moines,Joseph R. Biden,8893
,Des Moines,Rocky De La Fuente,14
,Des Moines,Don Blankenship,16
,Des Moines,Ricki Sue King,8
,Des Moines,Howie Hawkins,52
,Des Moines,Jo Jorgensen,275
,Des Moines,Brock Pierce,12
,Des Moines,Kanye West,44
,Des Moines,Write-in,50
,Des Moines,Undervotes,89
,Des Moines,Overvotes,37
,Dickinson,Donald J. Trump,7438
,Dickinson,Joseph R. Biden,3661
,Dickinson,Rocky De La Fuente,7
,Dickinson,Don Blankenship,8
,Dickinson,Ricki Sue King,8
,Dickinson,Howie Hawkins,8
,Dickinson,Jo Jorgensen,92
,Dickinson,Brock Pierce,2
,Dickinson,Kanye West,6
,Dickinson,Write-in,14
,Dickinson,Undervotes,41
,Dickinson,Overvotes,21
,Dubuque,Donald J. Trump,27214
,Dubuque,Joseph R. Biden,25657
,Dubuque,Rocky De La Fuente,30
,Dubuque,Don Blankenship,58
,Dubuque,Ricki Sue King,13
,Dubuque,Howie Hawkins,125
,Dubuque,Jo Jorgensen,556
,Dubuque,Brock Pierce,14
,Dubuque,Kanye West,115
,Dubuque,Write-in,144
,Dubuque,Undervotes,217
,Dubuque,Overvotes,42
,Emmet,Donald J. Trump,3265
,Emmet,Joseph R. Biden,1520
,Emmet,Rocky De La Fuente,3
,Emmet,Don Blankenship,5
,Emmet,Ricki Sue King,1
,Emmet,Howie Hawkins,12
,Emmet,Jo Jorgensen,36
,Emmet,Brock Pierce,2
,Emmet,Kanye West,6
,Emmet,Write-in,3
,Emmet,Undervotes,23
,Emmet,Overvotes,9
,Fayette,Donald J. Trump,6145
,Fayette,Joseph R. Biden,3835
